Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,Molex PicoBlade 2Pin smt tht,-81.34,-76.148,180,bottom
C1,10uF,C_0805_2012Metric,-138.28,-76.41,-90,bottom
C2,10uF,C_0805_2012Metric,-135.15,-69.91,-90,bottom
C3,0.1uF,C_0805_2012Metric,-133.122856,-69.91,-90,bottom
C4,1nF,C_0805_2012Metric,-163.37,-67,90,bottom
C5,4.7uF,C_0805_2012Metric,-126.72,-78.44,-90,bottom
C6,4.7uF,C_0805_2012Metric,-124.61,-78.44,-90,bottom
C7,1uF,C_0805_2012Metric,-129.68,-77.49,0,bottom
C8,1uF,C_0805_2012Metric,-131.85,-74.52,-90,bottom
C9,100nF,C_0805_2012Metric,-134.16,-74.52,-90,bottom
C10,10uF,C_0805_2012Metric,-167.04,-79.95,180,bottom
C11,10uF,C_0805_2012Metric,-190.7,-79.04,90,bottom
D1,D,D_SOD-123,-70,-74.5,0,bottom
D2,D,D_SOD-123,-96.19375,-74.5,0,bottom
D3,D,D_SOD-123,-115.24375,-74.5,0,bottom
D4,D,D_SOD-123,-200.96875,-74.5,0,bottom
D5,D,D_SOD-123,-220.01875,-74.5,0,bottom
D6,D,D_SOD-123,-246.2125,-74.5,0,bottom
D7,D,D_SOD-123,-67.61875,-93.55,0,bottom
D8,D,D_SOD-123,-91.43125,-93.55,0,bottom
D9,D,D_SOD-123,-110.48125,-93.55,0,bottom
D10,D,D_SOD-123,-129.53125,-93.55,0,bottom
D11,D,D_SOD-123,-148.58125,-93.55,0,bottom
D12,D,D_SOD-123,-167.63125,-93.55,0,bottom
D13,D,D_SOD-123,-186.68125,-93.55,0,bottom
D14,D,D_SOD-123,-205.73125,-93.55,0,bottom
D15,D,D_SOD-123,-224.78125,-93.55,0,bottom
D16,D,D_SOD-123,-248.59375,-93.55,0,bottom
D17,D,D_SOD-123,-62.85625,-112.6,0,bottom
D18,D,D_SOD-123,-81.90625,-112.6,0,bottom
D19,D,D_SOD-123,-100.95625,-112.6,0,bottom
D20,D,D_SOD-123,-120.00625,-112.6,0,bottom
D21,D,D_SOD-123,-139.05625,-112.6,0,bottom
D22,D,D_SOD-123,-158.10625,-112.6,0,bottom
D23,D,D_SOD-123,-177.15625,-112.6,0,bottom
D24,D,D_SOD-123,-196.20625,-112.6,0,bottom
D25,D,D_SOD-123,-215.25625,-112.6,0,bottom
D26,D,D_SOD-123,-234.30625,-112.6,0,bottom
D27,D,D_SOD-123,-253.35625,-112.6,0,bottom
D28,D,D_SOD-123,-72.22,-131.65,180,bottom
D29,D,D_SOD-123,-91.43125,-131.65,0,bottom
D30,D,D_SOD-123,-110.48125,-131.65,0,bottom
D31,D,D_SOD-123,-129.53125,-131.65,0,bottom
D32,D,D_SOD-123,-148.58125,-131.65,0,bottom
D33,D,D_SOD-123,-167.63125,-131.65,0,bottom
D34,D,D_SOD-123,-186.68125,-131.65,0,bottom
D35,D,D_SOD-123,-205.73125,-131.65,0,bottom
D36,D,D_SOD-123,-224.78125,-131.65,0,bottom
D37,D,D_SOD-123,-248.59375,-131.65,0,bottom
D38,D,D_SOD-123,-120.00625,-150.7,0,bottom
D39,D,D_SOD-123,-143.81875,-150.7,0,bottom
D40,D,D_SOD-123,-172.39375,-150.7,0,bottom
D41,D,D_SOD-123,-196.20625,-150.7,0,bottom
D42,D,D_SOD-123,-272.40625,-74.5,0,bottom
D43,D,D_SOD-123,-291.45625,-74.5,0,bottom
D44,D,D_SOD-123,-310.50625,-74.5,0,bottom
D45,D,D_SOD-123,-272.40625,-93.55,0,bottom
D46,D,D_SOD-123,-291.45625,-93.55,0,bottom
D47,D,D_SOD-123,-310.50625,-93.55,0,bottom
D48,D,D_SOD-123,-272.40625,-112.6,0,bottom
D49,D,D_SOD-123,-291.45625,-112.6,0,bottom
D50,D,D_SOD-123,-310.50625,-112.6,0,bottom
D51,D,D_SOD-123,-272.40625,-131.65,0,bottom
D52,D,D_SOD-123,-291.45625,-131.65,0,bottom
D53,D,D_SOD-123,-310.50625,-131.65,0,bottom
D54,rdy,D_0805_2012Metric,-131.073334,-61.87,0,bottom
D55,chrg,D_0805_2012Metric,-134.736667,-61.87,180,bottom
D56,D_Schottky_Small,D_SOD-323_HandSoldering,-151.29,-75.58,90,bottom
F1,500mA,Fuse_1206_3216Metric,-153.64,-72.93,-90,bottom
J1,USB_C Main,USB-C-12-Pin-MidMount,-158.18,-56.465,180,bottom
Q1,AO3401A,SOT-23,-145.87,-75.57,180,bottom
R1,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-156.15,-72.54,-90,bottom
R2,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-163.08,-71.01,0,bottom
R3,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-134.13,-67,0,bottom
R4,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-165.52,-67.09,-90,bottom
R5,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-129.552856,-66.84,0,bottom
R6,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-127.05,-61.87,180,bottom
R7,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-138.76,-61.87,0,bottom
R8,5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-140.81,-76.39,-90,bottom
R9,806k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-127.15,-64.47,0,bottom
R10,2M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-131.21,-64.47,0,bottom
R11,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-168.13,-72.09,90,bottom
R12,2R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-154.69,-76.84,180,bottom
R13,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-148.99,-73.575,90,bottom
SW54,SW_RESET,Micro_Push_Button_3x6x2.5mm,-146.515,-62.725,180,bottom
U1,TP4056,TP4056_SOP-8-PP,-140.21,-69.6,90,bottom
U2,DW01A,SOT-23-6,-129.502856,-69.92,0,bottom
U3,USBLC6-2SC6,SOT-23-6,-163.1,-74.05,180,bottom
U4,FS8205,SOT-23-6,-125.185712,-69.93,0,bottom
U6,XC6206PxxxMR-Regulator_Linear,SOT-23,-128.71,-74.57,-90,bottom
